id;command_start;first_name;last_name;delevry_address;billing_address;status
1;2020-09-15;Else;Hirthe;full-range connect systems;Sleek;RETURNED
2;2020-09-15;Amie;Reichel;Throughway;overriding Algeria;SHIPPED
3;2020-09-16;Cleora;Dare;Ergonomic;Borders streamline strategy;RETURNED
4;2020-09-15;Madelyn;Ernser;mindshare Moldova;Buckinghamshire utilize Toys;DELIVERED
5;2020-09-15;Duncan;Rice;Vista applications;virtual Personal Loan Account;SHIPPED
6;2020-09-16;Leonor;Barrows;orchestrate;mobile Cambridgeshire Tuna;ORDERED
7;2020-09-15;Otho;Lueilwitz;Frozen Designer;functionalities Regional;CANCELED
8;2020-09-15;Arlene;Gorczany;Metrics transmit metrics;Guadeloupe CSS invoice;ORDERED
9;2020-09-15;Tracy;Lynch;Streets;Awesome Rubber Shoes Alaska Rustic Cotton Bike;CANCELED
10;2020-09-16;Javier;Schroeder;Causeway;mint green synthesize Idaho;SHIPPED
